Date,Close/Last,Volume,Open,High,Low
09/10/2019,$117.31,6196207,$119.60,$119.605,$116.30
09/09/2019,$119.92,5335959,$121.21,$121.41,$119.52
09/06/2019,$120.19,4552386,$121.14,$121.19,$120.00
09/05/2019,$120.67,5261104,$119.50,$121.63,$119.50
09/04/2019,$118.40,3760809,$118.42,$118.73,$117.80
09/03/2019,$117.60,3199006,$119.86,$120.28,$117.52
08/30/2019,$120.37,2366225,$121.47,$121.66,$119.8201
08/29/2019,$120.74,1901399,$120.46,$121.20,$119.96
08/28/2019,$119.09,2333369,$117.03,$119.31,$116.97
08/27/2019,$117.75,3145879,$119.09,$119.34,$116.85
08/26/2019,$118.53,3170604,$118.33,$118.94,$117.38
08/23/2019,$117.76,4800393,$122.00,$122.045,$117.06
08/22/2019,$122.27,2322069,$123.31,$123.71,$121.77
08/21/2019,$122.50,2948352,$122.50,$123.06,$121.99
08/20/2019,$121.42,3641626,$123.63,$123.78,$121.34
08/19/2019,$124.40,3286669,$126.10,$126.15,$124.34
08/16/2019,$124.63,2343388,$123.50,$124.75,$122.69
08/15/2019,$122.38,3031700,$122.65,$123.00,$121.135
08/14/2019,$122.65,5626284,$124.35,$125.33,$122.13
08/13/2019,$126.32,3212793,$123.86,$126.50,$122.51
08/12/2019,$123.95,2919433,$124.99,$125.71,$123.80
08/09/2019,$126.17,2138298,$125.58,$126.74,$124.72
08/08/2019,$125.29,2976276,$123.85,$125.70,$123.70
08/07/2019,$123.54,3170849,$120.92,$123.85,$120.22
08/06/2019,$122.55,3496991,$121.06,$122.85,$120.87
08/05/2019,$120.72,5876152,$122.46,$123.08,$120.155
08/02/2019,$124.31,3268755,$123.92,$124.91,$123.08
08/01/2019,$124.09,4489832,$123.77,$126.13,$123.52
07/31/2019,$124.37,3221035,$126.53,$126.59,$123.62
07/30/2019,$126.47,1576298,$126.57,$126.91,$126.30
07/29/2019,$127.19,1829545,$126.91,$127.46,$126.54
07/26/2019,$126.78,4236171,$127.09,$127.56,$126.30
07/25/2019,$127.15,2663546,$127.81,$128.19,$126.50
07/24/2019,$127.95,3628458,$127.71,$128.22,$126.79
07/23/2019,$128.20,4055218,$126.38,$128.98,$126.36
07/22/2019,$126.00,4839766,$124.75,$126.01,$124.70
07/19/2019,$124.82,7819016,$126.80,$128.00,$123.80
07/18/2019,$128.40,3528386,$126.69,$129.09,$126.66
07/17/2019,$127.08,2248861,$128.02,$128.64,$127.01
07/16/2019,$128.06,2733988,$129.22,$129.34,$127.80
07/15/2019,$128.57,2355882,$128.25,$128.68,$127.76
07/12/2019,$127.96,1639404,$127.55,$128.00,$126.87
07/11/2019,$127.28,2928113,$126.98,$127.69,$126.44
07/10/2019,$126.89,2733830,$126.70,$128.42,$126.70
07/09/2019,$125.90,2237336,$124.27,$126.04,$124.18
07/08/2019,$124.85,3332421,$124.99,$125.23,$124.64
07/05/2019,$125.40,3731538,$126.13,$126.19,$124.31
07/03/2019,$125.86,3714345,$125.21,$126.05,$124.94
07/02/2019,$125.10,4076710,$124.78,$125.33,$124.60
07/01/2019,$124.92,4023485,$125.30,$126.40,$124.55
06/28/2019,$123.44,4338925,$124.29,$124.545,$123.20
06/27/2019,$123.94,1504592,$123.69,$124.41,$123.56
06/26/2019,$123.59,1902539,$123.18,$124.00,$123.03
06/25/2019,$123.16,2387772,$124.27,$124.57,$123.04
06/24/2019,$124.14,2681287,$124.98,$125.42,$124.01
06/21/2019,$124.73,5703796,$125.20,$126.31,$124.56
06/20/2019,$124.92,3303227,$125.69,$126.40,$124.47
06/19/2019,$124.68,2952141,$124.24,$124.92,$123.68
06/18/2019,$123.43,2729179,$122.81,$125.05,$122.21
06/17/2019,$121.45,2094243,$122.24,$122.24,$121.30
06/14/2019,$122.00,2484161,$122.01,$122.61,$120.94
06/13/2019,$121.86,2343851,$122.09,$122.70,$121.42
06/12/2019,$122.03,2685748,$122.92,$123.19,$121.59
06/11/2019,$123.23,3303845,$123.55,$124.74,$123.08
06/10/2019,$122.66,3453735,$121.60,$123.445,$121.41
06/07/2019,$121.11,2481787,$119.87,$121.36,$119.56
06/06/2019,$119.43,2209284,$118.42,$119.64,$118.15
06/05/2019,$118.12,2568240,$117.18,$118.24,$117.01
06/04/2019,$116.85,3043212,$115.71,$117.00,$115.23
06/03/2019,$114.62,2968541,$114.56,$115.93,$113.8944
05/31/2019,$114.71,2969059,$115.77,$115.98,$114.56
05/30/2019,$116.74,1882652,$117.21,$117.31,$116.105
05/29/2019,$117.01,2554183,$117.71,$117.81,$116.04
05/28/2019,$118.17,2550345,$119.36,$120.12,$118.17
05/24/2019,$119.51,2240143,$119.21,$119.63,$118.3258
05/23/2019,$118.43,3290185,$119.27,$119.40,$117.85
05/22/2019,$120.01,2941084,$120.36,$120.88,$119.44
05/21/2019,$120.55,3369152,$120.47,$120.675,$119.34
05/20/2019,$119.84,2765625,$118.83,$120.32,$118.62
05/17/2019,$119.07,5273665,$118.60,$119.59,$118.51
05/16/2019,$119.84,4143559,$117.77,$120.345,$117.77
05/15/2019,$117.66,2711360,$116.18,$118.23,$115.90
05/14/2019,$117.01,2460661,$115.98,$117.73,$115.77
05/13/2019,$115.90,3710632,$116.42,$116.89,$115.62
05/10/2019,$118.46,2435169,$116.86,$118.93,$116.21
05/09/2019,$117.26,3219563,$116.15,$117.29,$115.38
05/08/2019,$117.49,4037548,$117.83,$118.11,$116.82
05/07/2019,$118.22,6282263,$118.37,$119.41,$117.65
05/06/2019,$119.34,2924463,$117.26,$119.61,$117.05
05/03/2019,$119.35,2856165,$117.91,$119.655,$117.63
05/02/2019,$117.25,2538724,$117.00,$117.65,$116.68
05/01/2019,$117.02,2450842,$117.47,$117.99,$116.93
04/30/2019,$117.23,2335606,$117.05,$117.35,$116.10
04/29/2019,$116.76,3070426,$117.24,$117.70,$116.545
04/26/2019,$117.60,2953610,$116.59,$117.73,$116.10
04/25/2019,$115.88,4521049,$115.23,$116.50,$114.75
04/24/2019,$114.02,2315120,$113.76,$114.36,$113.42
04/23/2019,$113.97,3342750,$112.19,$114.04,$111.90
04/22/2019,$112.33,3174362,$112.60,$113.40,$112.23
04/18/2019,$113.67,6183871,$112.25,$114.14,$111.32
04/17/2019,$111.76,3790252,$112.31,$112.50,$111.25
04/16/2019,$111.88,2522369,$111.09,$112.03,$110.94
04/15/2019,$110.53,2284971,$110.92,$110.97,$110.25
04/12/2019,$110.91,2315254,$110.82,$111.55,$110.45
04/11/2019,$109.85,2320595,$110.51,$110.83,$109.42
04/10/2019,$110.16,2588396,$110.48,$110.48,$109.52
04/09/2019,$109.85,2869279,$110.01,$110.31,$109.49
04/08/2019,$110.70,4776570,$110.62,$110.85,$109.915
04/05/2019,$110.96,4552118,$110.48,$111.21,$110.44
04/04/2019,$110.12,3619471,$110.33,$110.49,$109.50
04/03/2019,$110.56,3719702,$111.82,$112.00,$110.345
04/02/2019,$111.00,3518320,$111.21,$111.46,$110.37
04/01/2019,$111.70,4982843,$110.29,$112.04,$110.08
03/29/2019,$109.30,4891040,$110.20,$110.385,$109.14
03/28/2019,$109.16,2681167,$109.42,$109.88,$108.49
03/27/2019,$108.98,3342948,$109.68,$110.00,$108.33
03/26/2019,$109.50,2844478,$109.99,$110.40,$109.05
03/25/2019,$109.04,3596230,$109.28,$110.07,$108.19
03/22/2019,$109.46,3720866,$111.29,$111.32,$108.9883
03/21/2019,$111.82,3084295,$109.96,$112.18,$109.81
03/20/2019,$110.77,3309303,$112.26,$112.46,$110.60
03/19/2019,$112.67,3283473,$114.22,$114.22,$112.36
03/18/2019,$113.55,2917969,$113.75,$114.25,$113.16
03/15/2019,$113.52,4776733,$112.71,$113.77,$112.53
03/14/2019,$112.35,3538236,$112.39,$112.78,$111.88
03/13/2019,$112.14,4229160,$110.18,$112.26,$110.09
03/12/2019,$110.43,3917505,$109.74,$111.275,$109.74
03/11/2019,$109.56,3285793,$109.01,$109.79,$108.71
03/08/2019,$107.98,2077106,$106.79,$108.07,$106.68
03/07/2019,$107.86,3048239,$108.56,$108.63,$107.40
03/06/2019,$108.98,2614039,$108.93,$109.45,$108.85
03/05/2019,$108.85,2658668,$109.03,$109.315,$108.32
03/04/2019,$109.00,4053186,$109.56,$110.09,$107.76
03/01/2019,$108.90,2679143,$108.40,$109.65,$108.20
02/28/2019,$107.74,3295799,$107.22,$108.4457,$107.08
02/27/2019,$107.42,2393448,$106.86,$107.625,$106.60
02/26/2019,$106.94,2548073,$106.67,$107.62,$106.42
02/25/2019,$106.93,3333497,$108.20,$108.8474,$106.76
02/22/2019,$107.44,2256445,$106.98,$107.55,$106.86
02/21/2019,$106.61,2542360,$106.74,$106.95,$106.32
02/20/2019,$106.78,3840756,$106.57,$107.179,$106.50
02/19/2019,$106.50,3692762,$107.05,$107.23,$106.46
02/15/2019,$107.38,3882256,$107.33,$108.09,$107.12
02/14/2019,$106.62,2385903,$107.00,$107.36,$106.24
02/13/2019,$107.56,3180471,$107.55,$108.47,$107.10
02/12/2019,$107.00,3238636,$106.27,$107.43,$106.26
02/11/2019,$105.41,2653833,$104.95,$105.56,$104.81
02/08/2019,$104.52,2580790,$103.73,$104.52,$103.43
02/07/2019,$104.39,3855040,$104.057,$104.78,$103.61
02/06/2019,$104.96,3595667,$103.85,$105.08,$103.43
02/05/2019,$103.90,2231188,$103.63,$104.175,$103.41
02/04/2019,$103.42,2564298,$103.04,$103.46,$102.52
02/01/2019,$103.06,4727795,$102.41,$103.53,$102.41
01/31/2019,$102.70,4297101,$102.00,$102.90,$101.70
01/30/2019,$102.67,3501447,$101.09,$102.85,$100.54
01/29/2019,$100.96,2826289,$100.94,$101.42,$100.54
01/28/2019,$100.38,3167005,$100.05,$100.41,$99.48
01/25/2019,$100.77,3486272,$100.43,$101.59,$100.09
01/24/2019,$99.72,3415856,$99.69,$100.54,$99.38
01/23/2019,$99.71,3585120,$99.93,$100.19,$98.46
01/22/2019,$99.83,4565147,$99.85,$100.68,$98.96
01/18/2019,$100.48,9865158,$98.19,$100.81,$96.37
01/17/2019,$99.49,5660314,$99.41,$100.24,$98.565
01/16/2019,$99.41,4688227,$98.94,$99.96,$98.514
01/15/2019,$97.99,5763302,$98.61,$98.87,$97.74
01/14/2019,$98.44,4047357,$97.76,$99.03,$97.62
01/11/2019,$98.55,2770429,$97.88,$98.68,$97.36
01/10/2019,$98.26,3522202,$98.45,$98.67,$97.82
01/09/2019,$98.83,2954542,$98.74,$99.59,$98.15
01/08/2019,$98.65,3092471,$98.69,$99.52,$97.52
01/07/2019,$98.17,3220776,$97.77,$98.92,$97.02
01/04/2019,$97.64,4637230,$95.37,$98.35,$94.90
01/03/2019,$93.43,4773518,$94.79,$95.18,$93.23
01/02/2019,$95.68,4136592,$93.91,$96.27,$93.77
12/31/2018,$95.32,2821021,$95.13,$95.61,$94.30
12/28/2018,$94.42,3225033,$95.40,$95.65,$93.95
12/27/2018,$94.68,4217215,$92.36,$94.68,$91.26
12/26/2018,$93.84,5351979,$89.85,$93.89,$89.05
12/24/2018,$89.50,3190855,$90.74,$91.55,$89.50
12/21/2018,$91.33,11005320,$95.20,$96.63,$91.15
12/20/2018,$95.77,7110453,$97.91,$98.87,$95.26
12/19/2018,$98.77,6195163,$99.76,$102.00,$98.20
12/18/2018,$101.02,5218021,$101.98,$102.57,$100.47
12/17/2018,$101.18,7332550,$105.46,$105.46,$100.78
12/14/2018,$105.70,5245398,$105.77,$106.45,$104.93
12/13/2018,$106.70,3542572,$107.77,$108.36,$106.33
